ticker,category,direction,earnings_date,entry_date,exit_date,entry_price,exit_price,raw_return_pct,trade_return_pct,spy_return_pct,excess_return_pct,surprise_pct,trade_return,date,cumulative_return,benchmark_cumulative
NVDA,Beat,Long,2025-04-30,2025-05-01,2025-05-08,111.58370208740234,117.34235382080078,5.1608358798561405,5.1608358798561405,1.1800223937625587,3.9808134860935818,8.02,5.1608358798561405,2025-05-01,2.590686066278436,1.1800223937625587
WMT,Beat,Long,2025-04-30,2025-05-01,2025-05-08,96.36933135986328,96.38912200927734,0.02053625270073134,0.02053625270073134,1.1800223937625587,-1.1594861410618273,5.6399997,0.02053625270073134,2025-05-01,2.590686066278436,1.1800223937625587
INTC,Miss,Short,2025-06-30,2025-07-01,2025-07-09,22.850000381469727,23.440000534057617,2.5820575174534843,-2.5820575174534843,1.037793349002003,-3.6198508664554874,-200.0,-2.5820575174534843,2025-07-01,3.3420314519848615,2.230061936683758
GS,Beat,Long,2025-06-30,2025-07-01,2025-07-09,695.5712890625,685.8238525390625,-1.4013569387798075,-1.4013569387798075,1.037793349002003,-2.4391502877818105,12.91,-1.4013569387798075,2025-07-01,3.3420314519848615,2.230061936683758
JPM,Beat,Long,2025-06-30,2025-07-01,2025-07-09,284.86981201171875,279.0962829589844,-2.0267254757400766,-2.0267254757400766,1.037793349002003,-3.0645188247420796,10.62,-2.0267254757400766,2025-07-01,3.3420314519848615,2.230061936683758
GOOGL,Beat,Long,2025-06-30,2025-07-01,2025-07-09,175.44451904296875,176.22276306152344,0.4435841158218823,0.4435841158218823,1.037793349002003,-0.5942092331801208,5.6700002,0.4435841158218823,2025-07-01,3.3420314519848615,2.230061936683758
META,Beat,Long,2025-06-30,2025-07-01,2025-07-09,717.5348510742188,731.0631103515625,1.8853800978573476,1.8853800978573476,1.037793349002003,0.8475867488553446,20.959999,1.8853800978573476,2025-07-01,3.3420314519848615,2.230061936683758
DIS,Beat,Long,2025-06-30,2025-07-01,2025-07-09,122.66009521484376,119.79945373535156,-2.332169622469049,-2.332169622469049,1.037793349002003,-3.369962971471052,11.3000005,-2.332169622469049,2025-07-01,3.3420314519848615,2.230061936683758
MSFT,Beat,Long,2025-06-30,2025-07-01,2025-07-09,489.2080993652344,500.60198974609375,2.3290477806159338,2.3290477806159338,1.037793349002003,1.2912544316139307,8.09,2.3290477806159338,2025-07-01,3.3420314519848615,2.230061936683758
AAPL,Beat,Long,2025-06-30,2025-07-01,2025-07-09,206.99880981445312,210.30564880371097,1.5975159433148312,1.5975159433148312,1.037793349002003,0.5597225943128281,10.12,1.5975159433148312,2025-07-01,3.3420314519848615,2.230061936683758
PFE,Beat,Long,2025-06-30,2025-07-01,2025-07-09,23.404468536376953,23.890504837036133,2.076681638396294,2.076681638396294,1.037793349002003,1.0388882893942908,35.939997,2.076681638396294,2025-07-01,3.3420314519848615,2.230061936683758
UNH,Miss,Short,2025-06-30,2025-07-01,2025-07-09,319.4473571777344,296.69403076171875,-7.122715497488407,7.122715497488407,1.037793349002003,6.084922148486404,-8.229999000000001,7.122715497488407,2025-07-01,3.3420314519848615,2.230061936683758
AMZN,Beat,Long,2025-06-30,2025-07-01,2025-07-09,220.4600067138672,222.5399932861328,0.9434756912464426,0.9434756912464426,1.037793349002003,-0.09431765775556045,26.13,0.9434756912464426,2025-07-01,3.3420314519848615,2.230061936683758
WMT,Miss,Short,2025-07-31,2025-08-01,2025-08-08,97.67337036132812,102.86992645263672,5.320340715268346,-5.320340715268346,2.486657950999871,-7.806998666268217,-7.969999999999999,-5.320340715268346,2025-08-01,-2.1561167233405065,4.772173900144394
INTC,Beat,Long,2025-09-30,2025-10-01,2025-10-08,35.939998626708984,37.43000030517578,4.145803381749413,4.145803381749413,0.6971243665792715,3.448679015170142,200.0,4.145803381749413,2025-10-01,-2.385440814188089,5.502566253797103
KO,Beat,Long,2025-09-30,2025-10-01,2025-10-08,65.86135864257812,65.21044158935547,-0.9883140382133782,-0.9883140382133782,0.6971243665792715,-1.6854384047926496,5.3200003,-0.9883140382133782,2025-10-01,-2.385440814188089,5.502566253797103
META,Miss,Short,2025-09-30,2025-10-01,2025-10-08,716.142333984375,716.6414794921875,0.06969920421202591,-0.06969920421202591,0.6971243665792715,-0.7668235707912974,-84.33999399999999,-0.06969920421202591,2025-10-01,-2.385440814188089,5.502566253797103
MSFT,Beat,Long,2025-09-30,2025-10-01,2025-10-08,517.557861328125,522.676513671875,0.989000984472499,0.989000984472499,0.6971243665792715,0.2918766178932275,12.73,0.989000984472499,2025-10-01,-2.385440814188089,5.502566253797103
PFE,Beat,Long,2025-09-30,2025-10-01,2025-10-08,25.8715763092041,24.41683578491211,-5.622929607789118,-5.622929607789118,0.6971243665792715,-6.320053974368389,37.43,-5.622929607789118,2025-10-01,-2.385440814188089,5.502566253797103
TSLA,Miss,Short,2025-09-30,2025-10-01,2025-10-08,459.4599914550781,438.69000244140625,-4.520521786433407,4.520521786433407,0.6971243665792715,3.8233974198541354,-10.5299994,4.520521786433407,2025-10-01,-2.385440814188089,5.502566253797103
NFLX,Miss,Short,2025-09-30,2025-10-01,2025-10-08,117.08999633789062,121.4250030517578,3.7022861469373503,-3.7022861469373503,0.6971243665792715,-4.399410513516622,-15.79,-3.7022861469373503,2025-10-01,-2.385440814188089,5.502566253797103
CVX,Beat,Long,2025-09-30,2025-10-01,2025-10-08,151.3916778564453,150.5690155029297,-0.5433999841759518,-0.5433999841759518,0.6971243665792715,-1.2405243507552233,8.3900005,-0.5433999841759518,2025-10-01,-2.385440814188089,5.502566253797103
GS,Beat,Long,2025-09-30,2025-10-01,2025-10-08,777.5430297851562,768.6343383789062,-1.1457489894432737,-1.1457489894432737,0.6971243665792715,-1.8428733560225452,10.4899995,-1.1457489894432737,2025-10-01,-2.385440814188089,5.502566253797103
