test,return_metric,beat_mean,miss_mean,diff,t_statistic,p_value,significant_5pct,significant_10pct,n_beat,n_miss
Beat vs Miss,ret_day0,0.9010771016140928,-0.2411207196197196,1.1421978212338124,2.2220068950402347,0.04104857361707667,True,True,50.0,6.0
Beat vs 0,ret_day0,0.9010771016140928,,0.9010771016140928,2.5823065208273257,0.012853552535363844,True,True,50.0,
Miss vs 0,ret_day0,,-0.2411207196197196,-0.2411207196197196,-0.6388006868111986,0.5510626713501802,False,False,,6.0
Beat vs Miss,ret_day1,0.6950037945686085,0.9547627746391486,-0.2597589800705401,-0.20848975795188684,0.8413778210409858,False,False,50.0,6.0
Beat vs 0,ret_day1,0.6950037945686085,,0.6950037945686085,1.6583713138713299,0.10363144946401834,False,False,50.0,
Miss vs 0,ret_day1,,0.9547627746391486,0.9547627746391486,0.8137360600597868,0.45279050270272614,False,False,,6.0
Beat vs Miss,ret_day5,2.0224290353058567,0.5031071393638027,1.519321895942054,0.8257510119137679,0.42851721864537157,False,False,50.0,6.0
Beat vs 0,ret_day5,2.0224290353058567,,2.0224290353058567,2.0298371087511664,0.04782121149942859,True,True,50.0,
Miss vs 0,ret_day5,,0.5031071393638027,0.5031071393638027,0.32525481967119535,0.7581575395439979,False,False,,6.0
Beat vs Miss,ret_day10,4.049570738565239,-1.1429465487514667,5.192517287316706,2.3098090026622913,0.03253186452016273,True,True,50.0,6.0
Beat vs 0,ret_day10,4.049570738565239,,4.049570738565239,2.527143152973024,0.014776643663306107,True,True,50.0,
Miss vs 0,ret_day10,,-1.1429465487514667,-1.1429465487514667,-0.7249171642631818,0.5009948324281173,False,False,,6.0
Beat vs Miss,ret_day20,8.698566277190265,-4.839781809207017,13.538348086397281,3.1896033056466786,0.00565633641483261,True,True,50.0,6.0
Beat vs 0,ret_day20,8.698566277190265,,8.698566277190265,3.0112837608025083,0.00410556346329237,True,True,50.0,
Miss vs 0,ret_day20,,-4.839781809207017,-4.839781809207017,-1.5562365566549317,0.18037863310139654,False,False,,6.0
Beat vs Miss,ret_day0_adj,0.04511214187192243,-0.5263137984345634,0.5714259403064859,1.1035182992053238,0.2965893995540962,False,False,50.0,6.0
Beat vs 0,ret_day0_adj,0.04511214187192243,,0.04511214187192243,0.16302643018114846,0.8711681339494629,False,False,50.0,
Miss vs 0,ret_day0_adj,,-0.5263137984345634,-0.5263137984345634,-1.2024969759100597,0.2830050758737335,False,False,,6.0
Beat vs Miss,ret_day1_adj,0.3999779833381399,1.0683431192110018,-0.668365135872862,-0.5127948608249142,0.6260467642942572,False,False,50.0,6.0
Beat vs 0,ret_day1_adj,0.3999779833381399,,0.3999779833381399,0.983627281162815,0.33013089414867747,False,False,50.0,
Miss vs 0,ret_day1_adj,,1.0683431192110018,1.0683431192110018,0.8627350195781961,0.42771599199937027,False,False,,6.0
Beat vs Miss,ret_day5_adj,0.5213666650702584,0.14362432626329028,0.37774233880696817,0.2048266035188885,0.842320345476542,False,False,50.0,6.0
Beat vs 0,ret_day5_adj,0.5213666650702584,,0.5213666650702584,0.5604296802447724,0.5777399702548277,False,False,50.0,
Miss vs 0,ret_day5_adj,,0.14362432626329028,0.14362432626329028,0.09019537655893889,0.9316336619940087,False,False,,6.0
Beat vs Miss,ret_day10_adj,1.5033274370744447,-1.4172843135245952,2.92061175059904,1.4315584227163056,0.16984378010465856,False,False,50.0,6.0
Beat vs 0,ret_day10_adj,1.5033274370744447,,1.5033274370744447,1.0531168906897892,0.29745302255272266,False,False,50.0,
Miss vs 0,ret_day10_adj,,-1.4172843135245952,-1.4172843135245952,-0.9723638169737142,0.37552796809367334,False,False,,6.0
Beat vs Miss,ret_day20_adj,4.486525129274009,-7.790243400451331,12.27676852972534,2.9957684594618197,0.009119144160843128,True,True,50.0,6.0
Beat vs 0,ret_day20_adj,4.486525129274009,,4.486525129274009,1.6556285707902012,0.10418859142724812,False,False,50.0,
Miss vs 0,ret_day20_adj,,-7.790243400451331,-7.790243400451331,-2.534092543206558,0.05226859408884733,False,True,,6.0
